key,name,kind,status,params,risk,source,steps,stats
grid_fixed_original_frequency,组合移动网格-原频率基准｜R04-L24-Q2%-TP0.3%-M0.5%,组合移动网格,已重放验证,"{'grid_range': 0.04, 'grid_levels': 24, 'order_quote_pct': 0.02, 'take_profit': 0.003, 'move_threshold': 0.005, 'portfolio_stop_loss': 0.08, 'min_grid_move_seconds': 0.0}",组合权益相对历史峰值回撤达到 8%：取消挂单、卖出非 USDT、冷却 24 小时。,本地 5 分钟缓存与正式回测参数,按 Top10 等权分配组合权益 | 价格下穿网格层时限价买入 | 达到该笔入场价加止盈幅度时卖出 | 越出网格边界后按阈值移动网格,"{""buy_entries"": 14301, ""take_profit_sells"": 13813, ""liquidation_sells"": 10, ""completed_cycles"": 13813, ""grid_moves"": 218, ""liquidations"": 1, ""liquidation_times"": [1769737200.0], ""trades"": 28124, ""source_window"": ""2026-01-08 to 2026-07-09"", ""archived_trades"": 28124, ""archived_grid_moves"": 218}"
grid_fixed_low_frequency,组合移动网格-低频对照｜R04-L24-Q2%-TP0.3%-M1.5%-CD30m,组合移动网格,重放完成，归档存在差异,"{'grid_range': 0.04, 'grid_levels': 24, 'order_quote_pct': 0.02, 'take_profit': 0.003, 'move_threshold': 0.015, 'portfolio_stop_loss': 0.08, 'min_grid_move_seconds': 1800.0}",组合权益相对历史峰值回撤达到 8%：取消挂单、卖出非 USDT、冷却 24 小时。,本地 5 分钟缓存与正式回测参数,按 Top10 等权分配组合权益 | 价格下穿网格层时限价买入 | 达到该笔入场价加止盈幅度时卖出 | 越出网格边界后按阈值移动网格,"{""buy_entries"": 12197, ""take_profit_sells"": 11748, ""liquidation_sells"": 10, ""completed_cycles"": 11748, ""grid_moves"": 130, ""liquidations"": 1, ""liquidation_times"": [1769739600.0], ""trades"": 23955, ""source_window"": ""2026-01-08 to 2026-07-09"", ""archived_trades"": 23929, ""archived_grid_moves"": 130}"
grid_staged_fixed,组合移动网格-阶段优化固定版｜R10-L08-Q0.5%-TP0.5%-M0.5%,组合移动网格,已重放验证,"{'grid_range': 0.1, 'grid_levels': 8, 'order_quote_pct': 0.005, 'take_profit': 0.005, 'move_threshold': 0.005, 'portfolio_stop_loss': 0.08, 'min_grid_move_seconds': 0.0}",组合权益相对历史峰值回撤达到 8%：取消挂单、卖出非 USDT、冷却 24 小时。,本地 5 分钟缓存与正式回测参数,按 Top10 等权分配组合权益 | 价格下穿网格层时限价买入 | 达到该笔入场价加止盈幅度时卖出 | 越出网格边界后按阈值移动网格,"{""buy_entries"": 14191, ""take_profit_sells"": 13885, ""liquidation_sells"": 0, ""completed_cycles"": 13885, ""grid_moves"": 555, ""liquidations"": 0, ""liquidation_times"": [], ""trades"": 28076, ""source_window"": ""2026-01-08 to 2026-07-09"", ""archived_trades"": 28076, ""archived_grid_moves"": 555}"
grid_walk_forward_yield,滑窗组合网格-收益优先版｜WF-R08-L08-Q0.5%-TP0.5%-M0.5%,滑窗组合移动网格,已按每周选参重放,"{'lookback_days': 7, 'trade_days': 7, 'portfolio_stop_loss': 0.08, 'stop_loss': 0.04}",组合回撤达到 8% 时清仓并冷却 24 小时。stop_loss=4% 当前只作为候选参数/评分字段，不是独立单交易对清仓触发。,results\backtests\walk_forward_top_candidates_top10_6m_fee002_summary.csv,首月训练，不交易 | 每周回看前 7 天的候选参数表现 | 按收益减回撤惩罚分数选出参数 | 用该参数交易下一周并保留组合状态,"{""buy_entries"": 11966, ""take_profit_sells"": 11717, ""liquidation_sells"": 0, ""completed_cycles"": 11717, ""grid_moves"": 346, ""liquidations"": 0, ""liquidation_times"": [], ""trades"": 23683, ""weekly"": [{""week_index"": 1, ""pnl_pct"": 0.0015267374185079, ""drawdown_pct"": -0.0009088908285735, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.01, ""buy_entries"": 776, ""grid_moves"": 14}, {""week_index"": 2, ""pnl_pct"": 0.0009698129853954, ""drawdown_pct"": -0.0008181502084147, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 620, ""grid_moves"": 21}, {""week_index"": 3, ""pnl_pct"": 0.0007055275577219, ""drawdown_pct"": -0.0021502602514965, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.01, ""buy_entries"": 614, ""grid_moves"": 31}, {""week_index"": 4, ""pnl_pct"": 0.0020686203796954, ""drawdown_pct"": -0.0020523468872061, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 909, ""grid_moves"": 38}, {""week_index"": 5, ""pnl_pct"": 0.0019674086427803, ""drawdown_pct"": -0.001648586763235, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 584, ""grid_moves"": 12}, {""week_index"": 6, ""pnl_pct"": 0.0008185313330146, ""drawdown_pct"": -0.0014343855903434, ""grid_range"": 0.08, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 599, ""grid_moves"": 28}, {""week_index"": 7, ""pnl_pct"": -0.0012211422309616, ""drawdown_pct"": -0.0024947778210979, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.015, ""buy_entries"": 423, ""grid_moves"": 11}, {""week_index"": 8, ""pnl_pct"": 0.0009325963280268, ""drawdown_pct"": -0.0033617971009495, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.015, ""buy_entries"": 388, ""grid_moves"": 7}, {""week_index"": 9, ""pnl_pct"": 0.0024146102097424, ""drawdown_pct"": -0.0019767316772195, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 365, ""grid_moves"": 12}, {""week_index"": 10, ""pnl_pct"": 0.0024229719956247, ""drawdown_pct"": -0.0015862951249485, ""grid_range"": 0.1, ""grid_levels"": 12, ""move_threshold"": 0.015, ""buy_entries"": 619, ""grid_moves"": 8}, {""week_index"": 11, ""pnl_pct"": 0.0003059108938688, ""drawdown_pct"": -0.0020334963665498, ""grid_range"": 0.1, ""grid_levels"": 12, ""move_threshold"": 0.015, ""buy_entries"": 438, ""grid_moves"": 4}, {""week_index"": 12, ""pnl_pct"": 9.582480393371688e-05, ""drawdown_pct"": -0.0015807872078981, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 228, ""grid_moves"": 5}, {""week_index"": 13, ""pnl_pct"": 0.0023741791955765, ""drawdown_pct"": -0.0006861495099453, ""grid_range"": 0.08, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 381, ""grid_moves"": 18}, {""week_index"": 14, ""pnl_pct"": 0.0002103334441316, ""drawdown_pct"": -0.0010793016390982, ""grid_range"": 0.08, ""grid_levels"": 8, ""move_threshold"": 0.015, ""buy_entries"": 435, ""grid_moves"": 7}, {""week_index"": 15, ""pnl_pct"": -0.0016909676132249, ""drawdown_pct"": -0.0028866575516041, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.01, ""buy_entries"": 293, ""grid_moves"": 6}, {""week_index"": 16, ""pnl_pct"": 0.0002412256638414, ""drawdown_pct"": -0.0045114893550347, ""grid_range"": 0.08, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 402, ""grid_moves"": 8}, {""week_index"": 17, ""pnl_pct"": -0.0165664167797762, ""drawdown_pct"": -0.0205113257308988, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 1022, ""grid_moves"": 48}, {""week_index"": 18, ""pnl_pct"": 0.0059591264534854, ""drawdown_pct"": -0.0222518022237742, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 701, ""grid_moves"": 20}, {""week_index"": 19, ""pnl_pct"": -0.0003911541800936, ""drawdown_pct"": -0.0148114088108872, ""grid_range"": 0.1, ""grid_levels"": 12, ""move_threshold"": 0.015, ""buy_entries"": 653, ""grid_moves"": 13}, {""week_index"": 20, ""pnl_pct"": -0.0025794555478098, ""drawdown_pct"": -0.0216231755136011, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 598, ""grid_moves"": 19}, {""week_index"": 21, ""pnl_pct"": 0.0078467004164935, ""drawdown_pct"": -0.0191079713129303, ""grid_range"": 0.1, ""grid_levels"": 8, ""move_threshold"": 0.005, ""buy_entries"": 459, ""grid_moves"": 11}, {""week_index"": 22, ""pnl_pct"": -0.0030747350968021, ""drawdown_pct"": -0.0122136309789185, ""grid_range"": 0.1, ""grid_levels"": 12, ""move_threshold"": 0.015, ""buy_entries"": 459, ""grid_moves"": 5}]}"
grid_walk_forward_paper,滑窗组合网格-Paper当前运行｜R04-L24-Q2%-TP0.3%-M0.5%,Paper 组合移动网格,逐笔成交统计,"{'grid_range': 0.04, 'grid_levels': 24, 'order_quote_pct': 0.02, 'take_profit': 0.003, 'move_threshold': 0.005, 'portfolio_stop_loss': 0.08, 'refresh_seconds': 60}",组合回撤达到 8% 时按策略逻辑全清仓并冷却 24 小时。,results\server_trade_report\2026-07-10\new_strategy_since_restart\trade_fills.csv,每 60 秒刷新组合网格 | 每个交易对在当前价格下方挂多层买单 | 持仓按上方网格/止盈价挂卖单 | 价格越界 0.5% 时移动网格,"{""buy_entries"": 104, ""take_profit_sells"": 20, ""trades"": 124, ""per_pair"": [{""symbol"": ""ADA-USDT"", ""BUY"": 15, ""SELL"": 4}, {""symbol"": ""AVAX-USDT"", ""BUY"": 5, ""SELL"": 3}, {""symbol"": ""BNB-USDT"", ""BUY"": 6, ""SELL"": 1}, {""symbol"": ""BTC-USDT"", ""BUY"": 18, ""SELL"": 1}, {""symbol"": ""DOGE-USDT"", ""BUY"": 8, ""SELL"": 3}, {""symbol"": ""ETH-USDT"", ""BUY"": 20, ""SELL"": 2}, {""symbol"": ""LINK-USDT"", ""BUY"": 9, ""SELL"": 3}, {""symbol"": ""SOL-USDT"", ""BUY"": 16, ""SELL"": 2}, {""symbol"": ""XRP-USDT"", ""BUY"": 7, ""SELL"": 1}]}"
backtest_pmm_mister.py,做市-PMM Mister｜inventory-skew,做市,待验证,{},尚未产生正式回测统计。,scripts/backtest_pmm_mister.py,根据库存偏离调整双边报价 | 成交后重新平衡库存 | 以库存风险和报价偏斜控制敞口,{}
backtest_grid_strike.py,网格-Grid Strike｜trend-grid,网格,待验证,{},尚未产生正式回测统计。,scripts/backtest_grid_strike.py,按方向与最小订单间距创建网格 | 最多维持限定数量开放订单 | 达到止盈条件后退出,{}
backtest_bollinger_v2.py,布林带做市-Bollinger V2｜mean-reversion,均值回归,待验证,{},尚未产生正式回测统计。,scripts/backtest_bollinger_v2.py,用布林带识别价格偏离 | 按方向开仓 | 由止盈、止损、时间限制和冷却控制退出,{}
backtest_v2_controller.py,V2 控制器策略｜controller,控制器,待验证,{},尚未产生正式回测统计。,scripts/backtest_v2_controller.py,控制器解析买卖价差层 | 可选 DCA 价差分层补仓 | 由止盈和止损退出执行器,{}
simple_pmm.py,简单做市-Simple PMM｜basic,做市,待验证,{},尚未产生正式回测统计。,scripts/simple_pmm.py,围绕参考价两侧挂限价单 | 买卖价差由 bid/ask spread 决定 | 按刷新周期撤单后重挂,{}
